id	Targets	Context	Definition	POS	Type	Real_Contexts	Generated_Definition
en.trial.93	quantity	This bag would normally costs $ 497.50 for a quantity of 250 , at a price of $ 1.99 per piece .	A specific measured amount .	noun	hypernym-based	This bag would normally costs $ 497.50 for a quantity of 250 , at a price of $ 1.99 per piece . What is the definition of quantity?	A number of things that can be divided into a single unit.
en.trial.94	short	38 short suits fit me right off the rack .	A short version of a garment in a particular size .	noun	hypernym-based	38 short suits fit me right off the rack . What is the definition of short?	( of a garment ) not long enough to be worn.
en.trial.95	ten	tens of thousands of voters	An inexact quantity , typically understood to be between 20 and 100 .	noun	paraphrastic	tens of thousands of voters What is the definition of ten?	a unit of number equal to one hundredth of a million
en.trial.96	cream	I take my coffee with two cream and three sugar .	A portion of cream , such as the amount found in a creamer .	noun	paraphrastic	I take my coffee with two cream and three sugar . What is the definition of cream?	A soft, creamy substance, especially one used in making iced drinks.
en.trial.97	passing	her passing deformity	Pre-eminent , excellent , extreme .	adjective	synonym/antonym-based	her passing deformity What is the definition of passing?	occurring or occurring at a gradual or gradual rate
en.trial.98	reconciliation	He longed for reconciliation with his estranged father , but painful memories made him feel unready to do so .	The re-establishment of friendly relations ; conciliation , rapprochement .	noun	hypernym-based;synonym/antonym-based	He longed for reconciliation with his estranged father , but painful memories made him feel unready to do so . What is the definition of reconciliation?	The act of reconciling ; the state of being reconciled.
en.trial.99	compliant	Tendon is compliant compared to bone .	Willing to comply ; submissive ; willing to do what someone wants .	adjective	paraphrastic;synonym/antonym-based	Tendon is compliant compared to bone . What is the definition of compliant?	Conforming to a standard.
en.trial.100	idiosyncratic	I 'm not saying that Kaufman 's film will be enshrined as a classic , as those Kubrick films are . It 's too idiosyncratic and demanding for that : many viewers will be thinking of ending it halfway through	Peculiar to a specific individual ; eccentric .	adjective	paraphrastic;synonym/antonym-based 	I 'm not saying that Kaufman 's film will be enshrined as a classic , as those Kubrick films are . It 's too idiosyncratic and demanding for that : many viewers will be thinking of ending it halfway through What is the definition of idiosyncratic?	Characterized by idiosyncrasy ; characterized by idiosyncrasy ; characterized by idiosyncrasy.
en.trial.101	tight	We 've grown tighter over the years .	Intimately friendly .	adjective	hypernym-based	We 've grown tighter over the years . What is the definition of tight?	In a close manner ; closely.
en.trial.102	noise	we on earth , with undiscording voice , May rightly answer that melodious noise	Music , in general ; a concert ; also , a company of musicians ; a band .	noun	synonym/antonym-based	we on earth , with undiscording voice , May rightly answer that melodious noise What is the definition of noise?	A sound, especially a musical one.
en.trial.103	caravan	`` Would they could have foretold that my caravan would have been cut up by the Shinwaris almost within shadow of the Pass ! '' grunted the Eusufzai agent of a Rajputana trading-house whose goods had been feloniously diverted into the hands of other robbers just across the Border , and whose misfortunes were the laughing-stock of the bazar . `` Ohé , priest , whence come you and whither do you go ? ''	A convoy or procession of travelers , their vehicles and cargo , and any pack animals , especially camels crossing a desert .	noun	hypernym-based	`` Would they could have foretold that my caravan would have been cut up by the Shinwaris almost within shadow of the Pass ! '' grunted the Eusufzai agent of a Rajputana trading-house whose goods had been feloniously diverted into the hands of other robbers just across the Border , and whose misfortunes were the laughing-stock of the bazar . `` Ohé , priest , whence come you and whither do you go ? '' What is the definition of caravan?	A large, typically slender, vehicle used for travelling, especially one used by a large group of people.
en.trial.104	nigger	Now to locate the portion of the machine which contains the `` nigger . ''	An impurity in the covering of an electrical conductor which serves to make a partial short circuit , and thus becomes sufficiently heated to burn and destroy the insulation .	noun	hypernym-based	Now to locate the portion of the machine which contains the `` nigger . '' What is the definition of nigger?	A black person.
en.trial.105	drive	I drive to work every day .	To travel by operating a wheeled motorized vehicle .	verb	hypernym-based	I drive to work every day . What is the definition of drive?	To travel by car.
en.trial.106	picturesquely	The red-painted farm-houses , peculiar to Norway , lay picturesquely scattered on the higher points of the undulating valley , where men and women were busy hay-making .	In a picturesque manner .	adverb	morphological	The red-painted farm-houses , peculiar to Norway , lay picturesquely scattered on the higher points of the undulating valley , where men and women were busy hay-making . What is the definition of picturesquely?	In a picturesque manner.
en.trial.107	breathless	By that stage Sevilla were down to 10 men and Jorge Sampaoli , their manager , had been sent to the stands as a breathless encounter started to spiral out of control .	That makes one hold one 's breath ( with excitement etc . ) .	adjective	paraphrastic	By that stage Sevilla were down to 10 men and Jorge Sampaoli , their manager , had been sent to the stands as a breathless encounter started to spiral out of control . What is the definition of breathless?	Unable to breathe ; unable to breathe.
en.trial.108	nonsexual	These primitive , nonsexual plants constitute the subkingdom Protophyta .	Asexual ; lacking sexual reproductive capabilities ; neuter .	adjective	synonym/antonym-based;paraphrastic	These primitive , nonsexual plants constitute the subkingdom Protophyta . What is the definition of nonsexual?	Not sexual ; not having a sexual function.
en.trial.109	withe	Question . Did you hear of the circumstances of William Davis having been whipped on the 5th day of December , the day before the cutting took place ? Answer Yes , sir ; I did that evening , when he came home . Q . Did you examine where he had been withed ? A . Yes , sir .	To beat with withes .	verb	hypernym-based	Question . Did you hear of the circumstances of William Davis having been whipped on the 5th day of December , the day before the cutting took place ? Answer Yes , sir ; I did that evening , when he came home . Q . Did you examine where he had been withed ? A . Yes , sir . What is the definition of withe?	To cut the skin of ( someone ).
en.trial.110	acute	A more conservative approach , particularly if your author is a skilled computer user , would be to replace the problem characters with simple words or codes that are guaranteed to transfer successfully between computers . For example , you could replace é with e-acute if that particular character is causing problems . The author could then do a search and replace to change all instances of e-acute back to é before publication .	After a letter of the alphabet : having an acute accent .	adjective	paraphrastic	A more conservative approach , particularly if your author is a skilled computer user , would be to replace the problem characters with simple words or codes that are guaranteed to transfer successfully between computers . For example , you could replace é with e-acute if that particular character is causing problems . The author could then do a search and replace to change all instances of e-acute back to é before publication . What is the definition of acute?	A word that is pronounced as , , or .
en.trial.111	protect	This antivirus package will protect your computer from hackers .	To keep safe ; to defend ; to guard ; to prevent harm coming to .	verb	paraphrastic;synonym/antonym-based	This antivirus package will protect your computer from hackers . What is the definition of protect?	To make safe ; to keep safe.
en.trial.112	autumn	autumn leaves	Of or relating to autumn ; autumnal	adjective	morphological;synonym/antonym-based	autumn leaves What is the definition of autumn?	of or relating to the season of the year when the leaves of a plant are in full bloom
en.trial.113	catch	When the program catches an exception , this is recorded in the log file .	To handle an exception .	verb	hypernym-based	When the program catches an exception , this is recorded in the log file . What is the definition of catch?	To detect or detect.
en.trial.114	prefix	The string `` abra '' is both a prefix and a suffix of the string `` abracadabra '' .	An initial segment of a string of characters .	noun	hypernym-based	The string `` abra '' is both a prefix and a suffix of the string `` abracadabra '' . What is the definition of prefix?	A suffix or syllable that precedes a word, e.g. abracadabra.
en.trial.115	annihilate	An atom bomb can annihilate a whole city .	To reduce to nothing , to destroy , to eradicate .	verb	hypernym-based;synonym/antonym-based	An atom bomb can annihilate a whole city . What is the definition of annihilate?	To destroy completely.
en.trial.116	horary	horary , or soon decaying , fruits of summer	Having a duration of just an hour ; short-lived .	adjective	paraphrastic;synonym/antonym-based	horary , or soon decaying , fruits of summer What is the definition of horary?	Of or pertaining to the horaries.
en.trial.117	grape	Aw graped my way out i ' the dark , An ' down the stairs aw scrafflel 'd	To grope .	verb	synonym/antonym-based	Aw graped my way out i ' the dark , An ' down the stairs aw scrafflel 'd What is the definition of grape?	To move with a squeezing motion.
en.trial.118	blossom	This beauty , in the blossom of my youth , / When my first fire knew no adulterate incense , / Nor I no way to flatter , but my fondness ; / [ ... ] long did I love this lady , / Long was my travail , long my trade to win her ; / With all the duty of my soul , I served her .	A blooming period or stage of development ; something lovely that gives rich promise .	noun	paraphrastic	This beauty , in the blossom of my youth , / When my first fire knew no adulterate incense , / Nor I no way to flatter , but my fondness ; / [ ... ] long did I love this lady , / Long was my travail , long my trade to win her ; / With all the duty of my soul , I served her . What is the definition of blossom?	A state of growth or development.
en.trial.119	runny	runny honey	Fluid ; capable of flowing .	adjective	synonym/antonym-based;paraphrastic	runny honey What is the definition of runny?	containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or containing or
en.trial.120	previous	He is no better than the previous Prime Minister .	Prior ; occurring before something else , either in time or order .	adjective	synonym/antonym-based;paraphrastic	He is no better than the previous Prime Minister . What is the definition of previous?	Former, preceding.
en.trial.121	cornice	Looking to the east we could see Api and the mountains of west Nepal , shapely snow peaks in the distance , while in the immediate foreground , much lower but still dramatic , were the peaks of Panch Chuli IV and V ( III was hidden by the lip of a huge cornice ) , Telkot and Nagling , all of them unclimbed , all steep and challenging .	An overhanging edge of snow on a ridge or the crest of a mountain and along the sides of gullies .	noun	hypernym-based	Looking to the east we could see Api and the mountains of west Nepal , shapely snow peaks in the distance , while in the immediate foreground , much lower but still dramatic , were the peaks of Panch Chuli IV and V ( III was hidden by the lip of a huge cornice ) , Telkot and Nagling , all of them unclimbed , all steep and challenging . What is the definition of cornice?	A curved, rounded, or rounded structure, especially one on a wall or roof.
en.trial.122	very	He proposed marriage in the same restaurant , at the very table where they first met .	The same ; identical .	adjective	synonym/antonym-based	He proposed marriage in the same restaurant , at the very table where they first met . What is the definition of very?	Very ; extremely.
en.trial.123	obliged	I 'm greatly obliged for your help with this problem .	Grateful or indebted because of a favor done .	adjective	hypernym-based	I 'm greatly obliged for your help with this problem . What is the definition of obliged?	Angry, irritated, or gratified.
en.trial.124	cover-up	Truthfulness means no lies and no cover-ups . Compassion means being kind and helpful to others . Forbearance means being able to tolerate and suffer , and not fight back .	An attempt to conceal or disguise something , especially a wrongdoing or a mistake .	noun	hypernym-based	Truthfulness means no lies and no cover-ups . Compassion means being kind and helpful to others . Forbearance means being able to tolerate and suffer , and not fight back . What is the definition of cover-up?	A false or misleading explanation.
en.trial.125	version	Upgrade to the latest version for new features and bug fixes .	A particular revision ( of software , firmware , CPU , etc . ) .	noun	hypernym-based	Upgrade to the latest version for new features and bug fixes . What is the definition of version?	A set of software or hardware versions of a computer.
en.trial.126	southbound	The truck raced southbound , then careened into the ditch .	Toward the south .	adverb	paraphrastic	The truck raced southbound , then careened into the ditch . What is the definition of southbound?	In a southward direction.
en.trial.127	chancellor	In some of the states , as New York , Virginia , and South Carolina , the equity court is a distinct tribunal , having its appropriate judge , or chancellor , and officers .	The chief judge of a court of chancery ( that is , one exercising equity jurisdiction ) .	noun	hypernym-based	In some of the states , as New York , Virginia , and South Carolina , the equity court is a distinct tribunal , having its appropriate judge , or chancellor , and officers . What is the definition of chancellor?	The head of a court of law.
en.trial.128	chilling	It was a chilling story , but the children enjoyed it .	Causing mild fear .	adjective	paraphrastic	It was a chilling story , but the children enjoyed it . What is the definition of chilling?	Causing terror ; causing fear or terror.
en.trial.129	dynamic	The environment is dynamic , changing with the years and the seasons .	Changing ; active ; in motion .	adjective	synonym/antonym-based	The environment is dynamic , changing with the years and the seasons . What is the definition of dynamic?	Having a tendency to change ; changing.
en.trial.130	lesson	The accident was a good lesson to me .	Something that serves as a warning or encouragement .	noun	paraphrastic	The accident was a good lesson to me . What is the definition of lesson?	A learned experience.
en.trial.131	sameness	O to sail to sea in a ship ! / To leave this steady unendurable land , / To leave the tiresome sameness of the streets , the sidewalks and the houses , / To leave you O you solid motionless land , and entering a ship , / To sail and sail and sail !	A tiring lack of variety ; monotony .	noun	paraphrastic;synonym/antonym-based	O to sail to sea in a ship ! / To leave this steady unendurable land , / To leave the tiresome sameness of the streets , the sidewalks and the houses , / To leave you O you solid motionless land , and entering a ship , / To sail and sail and sail ! What is the definition of sameness?	The state of being the same ; the state of being the same.
en.trial.132	blown	Cattle are said to be blown when gorged with green food which develops gas .	distended , swollen or inflated	adjective	synonym/antonym-based	Cattle are said to be blown when gorged with green food which develops gas . What is the definition of blown?	Having a blowhole.
en.trial.133	impinge	Nothing in the next-door world of Dachau impinged on the great winter cycle of Beethoven chamber music played in Munich .	To have an effect upon , especially a negative one .	verb	paraphrastic	Nothing in the next-door world of Dachau impinged on the great winter cycle of Beethoven chamber music played in Munich . What is the definition of impinge?	To sway, sway, or sway.
en.trial.134	different	Irregular bedtimes may disrupt healthy brain development in young children , according to a study of intelligence and sleeping habits . ¶ Going to bed at a different time each night affected girls more than boys , but both fared worse on mental tasks than children who had a set bedtime , researchers found .	Not the same ; exhibiting a difference .	adjective	synonym/antonym-based;paraphrastic	Irregular bedtimes may disrupt healthy brain development in young children , according to a study of intelligence and sleeping habits . ¶ Going to bed at a different time each night affected girls more than boys , but both fared worse on mental tasks than children who had a set bedtime , researchers found . What is the definition of different?	Not the same ; not the same.
en.trial.135	decently	a decently high salary	To a reasonable or acceptable degree .	adverb	paraphrastic	a decently high salary What is the definition of decently?	in a decent manner
en.trial.136	secular	The skewed distribution of productivity gains is thus less a new phenomenon than a secular trend .	Continuing over a long period of time , long-term .	adjective	paraphrastic;synonym/antonym-based	The skewed distribution of productivity gains is thus less a new phenomenon than a secular trend . What is the definition of secular?	Of or pertaining to a single phenomenon or phenomenon.
en.trial.137	transcription	These frame tale interludes frequently include transcriptions of Italian folk songs .	An adaptation of a composition .	noun	hypernym-based	These frame tale interludes frequently include transcriptions of Italian folk songs . What is the definition of transcription?	A piece of music or other text that has been transcribed.
en.trial.138	eyed	That she had all the abstracted and nervous manner of one who is on the eve of some bold and hazardous step , which it has required no common struggle to resolve upon , would have been obvious to the lynx-eyed Fagin	Having the specified kind or number of eyes .	adjective	paraphrastic	That she had all the abstracted and nervous manner of one who is on the eve of some bold and hazardous step , which it has required no common struggle to resolve upon , would have been obvious to the lynx-eyed Fagin What is the definition of eyed?	Having eyes.
en.trial.139	abdominal	abdominal muscles	Of or pertaining to the abdomen ; ventral .	adjective	morphological;synonym/antonym-based	abdominal muscles What is the definition of abdominal?	of or relating to the abdomen
en.trial.140	tighten	Please tighten that screw a quarter-turn .	To make tighter .	verb	morphological	Please tighten that screw a quarter-turn . What is the definition of tighten?	To make tight.
en.trial.141	runner	Is that old Mercedes on the forecourt a runner ? / No , it has no gearbox .	An automobile ; a working or driveable automobile .	noun	synonym/antonym-based;hypernym-based	Is that old Mercedes on the forecourt a runner ? / No , it has no gearbox . What is the definition of runner?	A vehicle that is a reliable and reliable choice.
en.trial.142	klutz	`` Out of [ one abortion doctor 's ] first six months of work , there are nine malpractice suits ... After it was apparent the guy was a klutz , they kept using him , and trying to cover for him , because they could n't find another provider . ''	A clumsy or stupid person .	noun	hypernym-based	`` Out of [ one abortion doctor 's ] first six months of work , there are nine malpractice suits ... After it was apparent the guy was a klutz , they kept using him , and trying to cover for him , because they could n't find another provider . '' What is the definition of klutz?	A person who is averse to new ideas, especially in a sexually explicit way.
en.trial.143	starlet	I have a little golden dream That haunts me night and day , And like a starlet 's golden beam Lights up my darksome way .	A small star .	noun	hypernym-based	I have a little golden dream That haunts me night and day , And like a starlet 's golden beam Lights up my darksome way . What is the definition of starlet?	A star-shaped woman.
en.trial.144	suggestion	Traffic signs seem to be more of a suggestion than an order .	Something suggested ( with subsequent adposition being for )	noun	paraphrastic	Traffic signs seem to be more of a suggestion than an order . What is the definition of suggestion?	A vague or vague idea, idea, or statement.
en.trial.145	about	To my mind , transportation engineering is similar to flying in the 1930s — it has been about for some time but it has taken the present economic jolt to shake it out of its infancy , in the same way that the war started the development of flying to its current stage .	In existence ; being in evidence ; apparent .	adjective	paraphrastic;synonym/antonym-based	To my mind , transportation engineering is similar to flying in the 1930s — it has been about for some time but it has taken the present economic jolt to shake it out of its infancy , in the same way that the war started the development of flying to its current stage . What is the definition of about?	Nearly finished ; finished.
en.trial.146	noisy	the noisy crowd .	Making a noise , especially a loud unpleasant sound	adjective	paraphrastic	the noisy crowd . What is the definition of noisy?	Having a high volume of noise.
en.trial.147	truly	That is truly all I know .	Honestly , genuinely , in fact , really .	adverb	synonym/antonym-based	That is truly all I know . What is the definition of truly?	In a true manner ; absolutely.
en.trial.148	time-out	I 'm going to take a brief time-out from this job .	A break from a tense , heated or stressful situation ( often enforced , sometimes as a disciplinary measure ) ; a cooling-off period .	noun	hypernym-based	I 'm going to take a brief time-out from this job . What is the definition of time-out?	A break from work.
en.trial.149	curler	The captain sent a curler into the top corner of the net .	A pass or a shot of the ball which swerves .	noun	hypernym-based	The captain sent a curler into the top corner of the net . What is the definition of curler?	A shot that is thrown with the arms extended, causing the ball to curl up.
en.trial.150	caveat	If a midfielder and a defender are acquired by 1 September then will consider United 's summer in the market almost a success . The one caveat is that the Dutchman wished to have finished strengthening the squad before the start of the season .	A qualification or exemption .	noun	synonym/antonym-based	If a midfielder and a defender are acquired by 1 September then will consider United 's summer in the market almost a success . The one caveat is that the Dutchman wished to have finished strengthening the squad before the start of the season . What is the definition of caveat?	A warning, caution, or caution.
en.trial.151	drift	Now thou knowest my drift .	The tendency of an act , argument , course of conduct , or the like ; object aimed at or intended ; intention ; hence , also , import or meaning of a sentence or discourse ; aim .	noun	synonym/antonym-based;hypernym-based	Now thou knowest my drift . What is the definition of drift?	A tendency to wander ; a tendency to wander.
en.trial.152	modestly	The man bowed modestly and left the dinner table .	In a modest manner .	adverb	morphological	The man bowed modestly and left the dinner table . What is the definition of modestly?	In a modest manner.
en.trial.153	indirect	In an effort to beat the traffic jams , they opted to take an indirect route to their destination .	Not involving the quickest , shortest , or most convenient path	adjective	paraphrastic	In an effort to beat the traffic jams , they opted to take an indirect route to their destination . What is the definition of indirect?	Not direct ; not involving direct action.
en.trial.154	deplorable	Poor children are often accused of having deplorable manners , when they are , in fact , simply responding to society in ways that mirror how society treats them .	Deserving strong condemnation ; shockingly bad , wretched .	adjective	paraphrastic	Poor children are often accused of having deplorable manners , when they are , in fact , simply responding to society in ways that mirror how society treats them . What is the definition of deplorable?	Of a person : showing deplorability ; deserving of deploration.
en.trial.155	sardonyx	The large chalice at right is carved from a single chunk of sardonyx , a kind of onyx . Its gilded rim and base are decorated with tiny enamels depicting a host of popular saints , including Nicephorus ( farthest left on rim ) , a Ninth Century patriarch and opponent of a religious movement to destroy icons .	A gemstone having bands of red sard ; a variety of onyx or chalcedony .	noun	hypernym-based	The large chalice at right is carved from a single chunk of sardonyx , a kind of onyx . Its gilded rim and base are decorated with tiny enamels depicting a host of popular saints , including Nicephorus ( farthest left on rim ) , a Ninth Century patriarch and opponent of a religious movement to destroy icons . What is the definition of sardonyx?	A hard, slender, spherical, spherical mineral, used in ceramics and in the manufacture of chalices.
en.trial.156	inside	The robbery was planned by the security guard : it was an inside job .	Originating from , arranged by , or being someone inside an organisation .	adjective	paraphrastic	The robbery was planned by the security guard : it was an inside job . What is the definition of inside?	Involving a person or organization that is not part of the larger organization.
en.trial.157	pizzicato	`` Trapeze '' begins with pizzicatos that plunge into a circuslike cacophony with rapid trills , busy , clashing textures and motion in every direction .	A note that is played pizzicato	noun	hypernym-based	`` Trapeze '' begins with pizzicatos that plunge into a circuslike cacophony with rapid trills , busy , clashing textures and motion in every direction . What is the definition of pizzicato?	A piece of pizzicata music.
en.trial.158	paternoster	A paternoster is any style of hook rig where the hook ( s ) are on droppers above a fixed sinker . One or two hooks are used on a paternoster rig . The droppers are tied using dropper loops tied directly in the line . The twisted dropper is an ideal knot as it stands out at right angles to the line .	A tackle rig with a heavy sinker at the end of the line , and one or more hooks on traces at right angles spaced above the sinker .	noun	hypernym-based	A paternoster is any style of hook rig where the hook ( s ) are on droppers above a fixed sinker . One or two hooks are used on a paternoster rig . The droppers are tied using dropper loops tied directly in the line . The twisted dropper is an ideal knot as it stands out at right angles to the line . What is the definition of paternoster?	A type of hook rig with a hook on the bottom of the line.
en.trial.159	prostitution	The television advertising job was a prostitution of the talents of one of the great writers of the century .	Debasement for profit or impure motives .	noun	hypernym-based	The television advertising job was a prostitution of the talents of one of the great writers of the century . What is the definition of prostitution?	The act of a prostitute.
en.trial.160	buckler	The target or buckler was carried by the heavy armed foot , it answered to the scutum of the Romans ; its form was sometimes that of a rectangular parallelogram , but more commonly had it 's bottom rounded off ; it was generally convex , being curved in it 's breadth .	A shield resembling the Roman scutum . In modern usage , a smaller variety of shield is usually implied by this term .	noun	hypernym-based	The target or buckler was carried by the heavy armed foot , it answered to the scutum of the Romans ; its form was sometimes that of a rectangular parallelogram , but more commonly had it 's bottom rounded off ; it was generally convex , being curved in it 's breadth . What is the definition of buckler?	A weapon consisting of a curved metal plate, typically with a rounded end, used to carry a target.
en.trial.161	forthwith	Let ther be Light , said God , and forthwith Light , / Ethereal , first of things , quintessence pure , / Sprung from the Deep , [ ... ]	Without delay ; immediately .	adverb	synonym/antonym-based	Let ther be Light , said God , and forthwith Light , / Ethereal , first of things , quintessence pure , / Sprung from the Deep , [ ... ] What is the definition of forthwith?	With all due, without delay, without delay.
en.trial.162	perfection	The system runs to perfection .	The quality or state of being perfect or complete , so that nothing substandard remains ; the highest attainable state or degree of excellence	noun	paraphrastic	The system runs to perfection . What is the definition of perfection?	The state of being perfect ; perfectness.
en.trial.163	burning	The burnings continued all day .	A fire .	noun	synonym/antonym-based	The burnings continued all day . What is the definition of burning?	A violent, violent, or violent attack.
en.trial.164	worldwide	A large meteorite impact would cause worldwide extinction of life .	Spanning the world ; global .	adjective	paraphrastic;synonym/antonym-based	A large meteorite impact would cause worldwide extinction of life . What is the definition of worldwide?	Throughout the world.
en.trial.165	speckless	There was never a millionaire who had more speckless white suits than I had , though it 's a matter almost of routine for officers to go dirty on anything but the swell liners .	spotless , perfectly clean	adjective	paraphrastic;synonym/antonym-based	There was never a millionaire who had more speckless white suits than I had , though it 's a matter almost of routine for officers to go dirty on anything but the swell liners . What is the definition of speckless?	Not soiled or tanned ; not soiled or tanned.
en.trial.166	company	it was with a distinctly fallen countenance that his father hearkened to his mother 's parenthetical request to `` 'bide hyar an ' company leetle Moses whilst I be a-milkin ' the cow . ''	To accompany , keep company with .	verb	synonym/antonym-based	it was with a distinctly fallen countenance that his father hearkened to his mother 's parenthetical request to `` 'bide hyar an ' company leetle Moses whilst I be a-milkin ' the cow . '' What is the definition of company?	A group of people, especially a group of people who share a common interest.
en.trial.167	dead-end	a dead-end street	Going nowhere ; blocked .	adjective	paraphrastic;synonym/antonym-based	a dead-end street What is the definition of dead-end?	Having no intersection or intersections.
en.trial.168	dread	my visit to the doctor is filling me with dread	Great fear in view of impending evil ; fearful apprehension of danger ; anticipatory terror .	noun	hypernym-based	my visit to the doctor is filling me with dread What is the definition of dread?	a feeling of fearful anticipation
en.trial.169	system	Similar studies of rats have employed four different intracranial resorbable , slow sustained release systems—surgical foam , a thermal gel depot , a microcapsule or biodegradable polymer beads .	A collection of organized things ; a whole composed of relationships among its members .	noun	hypernym-based;paraphrastic	Similar studies of rats have employed four different intracranial resorbable , slow sustained release systems—surgical foam , a thermal gel depot , a microcapsule or biodegradable polymer beads . What is the definition of system?	A set of related elements, especially one that is a part of a larger whole.
en.trial.170	malice	Thou blinded God ( quod I ) forgive me this offence , / Unwittingly I went about , to malice thy pretence .	To intend to cause harm ; to bear malice .	verb	hypernym-based;paraphrastic	Thou blinded God ( quod I ) forgive me this offence , / Unwittingly I went about , to malice thy pretence . What is the definition of malice?	To cause harm to ; to harm.
en.trial.171	extol	Behold , my servant shall deal prudently , he shall be exalted and extolled , and be very high .	To praise ; to make high .	verb	synonym/antonym-based	Behold , my servant shall deal prudently , he shall be exalted and extolled , and be very high . What is the definition of extol?	To praise ; to praise.
en.trial.172	bubble	Delighted with this promenade , little Edith bubbled her joy without cessation .	To express in a bubbly or lively manner .	verb	hypernym-based	Delighted with this promenade , little Edith bubbled her joy without cessation . What is the definition of bubble?	To envelop in a bubbling sensation.
en.trial.173	comfort	We still have the spare tire ? That 's a comfort at least .	A consolation ; something relieving suffering or worry .	noun	synonym/antonym-based;paraphrastic	We still have the spare tire ? That 's a comfort at least . What is the definition of comfort?	Something that provides a pleasant or pleasant experience.
en.trial.174	campaign	an election campaign	A series of operations undertaken to achieve a set goal .	noun	hypernym-based	an election campaign What is the definition of campaign?	A series of public events, especially one involving public debate or public demonstration, in which candidates and their supporters attempt to win a political election.
en.trial.175	vibe	The couple canceled their night out when they got a bad vibe from the new babysitter .	An atmosphere or aura felt to belong to a person , place or thing .	noun	hypernym-based	The couple canceled their night out when they got a bad vibe from the new babysitter . What is the definition of vibe?	A person's attitude or attitude towards something.
en.trial.176	liar	She paused and took a defiant breath . 'If you do n't believe me , I ca n't help it . But I 'm not a liar . ' ¶ 'No , ' said Luke , grinning at her . 'You 're not dull enough ! What about the kid 's clothes ? I do n't suppose they were anything to write home about , but did n't you keep anything ? '	One who tells lies .	noun	paraphrastic	She paused and took a defiant breath . 'If you do n't believe me , I ca n't help it . But I 'm not a liar . ' ¶ 'No , ' said Luke , grinning at her . 'You 're not dull enough ! What about the kid 's clothes ? I do n't suppose they were anything to write home about , but did n't you keep anything ? ' What is the definition of liar?	A person who lies.
en.trial.177	volume	The letter `` G '' was found in volume 4 .	A single book of a publication issued in multi-book format , such as an encyclopedia .	noun	hypernym-based	The letter `` G '' was found in volume 4 . What is the definition of volume?	A set of letters, numbers, or other items in a book, magazine, or other publication.
en.trial.178	striper	I caught a striper today .	The striped bass , , a popular sport fish native to North America	noun	hypernym-based;synonym/antonym-based	I caught a striper today . What is the definition of striper?	A fish that is striped.
en.trial.179	beneficiary	beneficiary gifts	Bestowed as a gratuity .	adjective	paraphrastic	beneficiary gifts What is the definition of beneficiary?	Having a purpose or benefit.
en.trial.180	silence	When the motor stopped , the silence was almost deafening .	The absence of any sound .	noun	paraphrastic	When the motor stopped , the silence was almost deafening . What is the definition of silence?	The state of being silent.
en.trial.181	recapture	One specimen of milberti was recaptured after being at liberty for ten years , and it had grown only twenty inches .	To capture something for a second or subsequent time , especially after a loss .	verb	hypernym-based	One specimen of milberti was recaptured after being at liberty for ten years , and it had grown only twenty inches . What is the definition of recapture?	To capture.
en.trial.182	outbid	Bengal outbidded those of Delhi ; instead of searching for khalifahs for obtaining recognition , Sultan Sikandar Shah himself took the title .of Imam ul-Azam and Khalifat-ul-Muazzam .	To bid more than ( somebody else ) in an auction .	verb	hypernym-based	Bengal outbidded those of Delhi ; instead of searching for khalifahs for obtaining recognition , Sultan Sikandar Shah himself took the title .of Imam ul-Azam and Khalifat-ul-Muazzam . What is the definition of outbid?	To bid more than.
en.trial.183	bishopric	Later that year , he was appointed to the bishopric of Lindesmeere .	A diocese or region of a church which a bishop governs .	noun	hypernym-based	Later that year , he was appointed to the bishopric of Lindesmeere . What is the definition of bishopric?	The office or position of a bishop.
en.trial.184	series	A series of seemingly inconsequential events led cumulatively to the fall of the company .	A number of things that follow on one after the other or are connected one after the other .	noun	paraphrastic	A series of seemingly inconsequential events led cumulatively to the fall of the company . What is the definition of series?	A set of related events.
en.trial.185	motherfucker	I jammed my finger in the door yesterday . It hurt like a motherfucker .	An extremely intense experience , often but not always negative .	noun	hypernym-based	I jammed my finger in the door yesterday . It hurt like a motherfucker . What is the definition of motherfucker?	A woman.
en.trial.186	ingress	`` We ingressed North Vietnam over Cam Pha on a westerly heading , '' reported Captain Madden .	To enter ( a specified location or area )	verb	hypernym-based	`` We ingressed North Vietnam over Cam Pha on a westerly heading , '' reported Captain Madden . What is the definition of ingress?	To enter ; to enter.
en.trial.187	profane	profane authors	Not sacred or holy , unconsecrated ; relating to non-religious matters , secular .	adjective	synonym/antonym-based;paraphrastic	profane authors What is the definition of profane?	not in accordance with the moral principles of the Bible
en.trial.188	lugubrious	His client 's lugubrious expression tipped off the detective that something lurked beneath her optimistic words .	Gloomy , mournful or dismal , especially to an exaggerated degree .	adjective	hypernym-based	His client 's lugubrious expression tipped off the detective that something lurked beneath her optimistic words . What is the definition of lugubrious?	Having a lustful, lustful, or lustful manner ; lustful.
