id	Targets	Context	Definition	POS	Type
en.trial.169	system	Similar studies of rats have employed four different intracranial resorbable , slow sustained release systems—surgical foam , a thermal gel depot , a microcapsule or biodegradable polymer beads .	A collection of organized things ; a whole composed of relationships among its members .	noun	hypernym-based;paraphrastic
en.trial.170	malice	Thou blinded God ( quod I ) forgive me this offence , / Unwittingly I went about , to malice thy pretence .	To intend to cause harm ; to bear malice .	verb	hypernym-based;paraphrastic
en.trial.171	extol	Behold , my servant shall deal prudently , he shall be exalted and extolled , and be very high .	To praise ; to make high .	verb	synonym/antonym-based
en.trial.172	bubble	Delighted with this promenade , little Edith bubbled her joy without cessation .	To express in a bubbly or lively manner .	verb	hypernym-based
en.trial.173	comfort	We still have the spare tire ? That 's a comfort at least .	A consolation ; something relieving suffering or worry .	noun	synonym/antonym-based;paraphrastic
en.trial.174	campaign	an election campaign	A series of operations undertaken to achieve a set goal .	noun	hypernym-based
en.trial.175	vibe	The couple canceled their night out when they got a bad vibe from the new babysitter .	An atmosphere or aura felt to belong to a person , place or thing .	noun	hypernym-based
en.trial.176	liar	She paused and took a defiant breath . 'If you do n't believe me , I ca n't help it . But I 'm not a liar . ' ¶ 'No , ' said Luke , grinning at her . 'You 're not dull enough ! What about the kid 's clothes ? I do n't suppose they were anything to write home about , but did n't you keep anything ? '	One who tells lies .	noun	paraphrastic
en.trial.177	volume	The letter `` G '' was found in volume 4 .	A single book of a publication issued in multi-book format , such as an encyclopedia .	noun	hypernym-based
en.trial.178	striper	I caught a striper today .	The striped bass , , a popular sport fish native to North America	noun	hypernym-based;synonym/antonym-based
en.trial.179	beneficiary	beneficiary gifts	Bestowed as a gratuity .	adjective	paraphrastic
en.trial.180	silence	When the motor stopped , the silence was almost deafening .	The absence of any sound .	noun	paraphrastic
en.trial.181	recapture	One specimen of milberti was recaptured after being at liberty for ten years , and it had grown only twenty inches .	To capture something for a second or subsequent time , especially after a loss .	verb	hypernym-based
en.trial.182	outbid	Bengal outbidded those of Delhi ; instead of searching for khalifahs for obtaining recognition , Sultan Sikandar Shah himself took the title .of Imam ul-Azam and Khalifat-ul-Muazzam .	To bid more than ( somebody else ) in an auction .	verb	hypernym-based
en.trial.183	bishopric	Later that year , he was appointed to the bishopric of Lindesmeere .	A diocese or region of a church which a bishop governs .	noun	hypernym-based
en.trial.184	series	A series of seemingly inconsequential events led cumulatively to the fall of the company .	A number of things that follow on one after the other or are connected one after the other .	noun	paraphrastic
en.trial.185	motherfucker	I jammed my finger in the door yesterday . It hurt like a motherfucker .	An extremely intense experience , often but not always negative .	noun	hypernym-based
en.trial.186	ingress	`` We ingressed North Vietnam over Cam Pha on a westerly heading , '' reported Captain Madden .	To enter ( a specified location or area )	verb	hypernym-based
en.trial.187	profane	profane authors	Not sacred or holy , unconsecrated ; relating to non-religious matters , secular .	adjective	synonym/antonym-based;paraphrastic
en.trial.188	lugubrious	His client 's lugubrious expression tipped off the detective that something lurked beneath her optimistic words .	Gloomy , mournful or dismal , especially to an exaggerated degree .	adjective	hypernym-based
en.trial.189	forthwith	Then Proclamation was made , that they that had ought to say for their Lord the King against the Prisoner at the Bar , should forthwith appear and give in their evidence .	Without delay ; immediately .	adverb	synonym/antonym-based
en.trial.190	print	a print edition of a book	Of , relating to , or writing for printed publications .	adjective	paraphrastic
en.trial.191	crotch	to crotch the ends of ropes in splicing or tying knots	To provide with a crotch ; to give the form of a crotch to .	verb	paraphrastic
en.trial.192	stuff	They totally stuffed us in that business deal .	To heavily defeat or get the better of .	verb	paraphrastic
en.trial.193	upset	The carriage upset when the horse bolted .	To be upset or knocked over .	verb	synonym/antonym-based
en.trial.194	unction	To be heir , and to be king / By sacred unction , thy deserved right .	A religious or ceremonial anointing .	noun	hypernym-based
en.trial.195	hoover	Then there is the little-known family of organisms called hantaviruses , which swarm in the micro-haze above the feces of mice and rats and are hoovered into the human respiratory system by anyone unlucky enough to stick a breathing orifice near them—by lying down , say , on a sleeping platform over which infected mice have recently scampered .	To suck in or inhale , as if by a vacuum cleaner .	verb	hypernym-based
en.trial.196	pigment	Chlorophyll is the pigment responsible for most plants ' green colouring .	Any color in plant or animal cells	noun	hypernym-based
en.trial.197	cloth	Like all cultural realities , contemporary modernism is packed with its own myths , its own largely unrecognized metaphors , its own poetics literally perceived -- or should we say , `` misperceived '' ? -- its own reifications and idiosyncratic distinctions . And it comes to us decorated in the cloth of emancipation , a new freedom that would seem to liberate us from those restraints and bonds that were the excretions of an older mindset , an alien political and social order , a rigid and stultifying hierarchy now perceived as riddled with superstition , arbitrary premise , and false conjunction — in contrast , of course , to the liberated mindset that bespeaks our own age !	Appearance ; seeming .	noun	synonym/antonym-based
en.trial.198	clearance	The plane got clearance from air traffic control , and we were off .	A permission for a vehicle to proceed , or for a person to travel .	noun	synonym/antonym-based
en.trial.199	sedentary	that any education that confined itself to sedentary pursuits was essentially imperfect , that the body as well as the mind should be cultivated	Not moving much ; sitting around .	adjective	paraphrastic
en.trial.200	motto	'Gentlemen , I can tell you what the new queen will take as her motto . It is Bound to Obey and Serve . '	A sentence , phrase , or word , forming part of an heraldic achievement .	noun	hypernym-based
